analysis_description,iteration_number,sum_total_MillionTonnesCO2
Total NGGI,776,-91.26839647750373
Total NGGI,777,-194.4154654069985
Total NGGI,778,-320.89777099553316
Total NGGI,779,-83.39175256274115
Total NGGI,780,-80.81352602436726
Total NGGI,781,-115.58778141527738
Total NGGI,782,-176.185287464711
Total NGGI,783,-349.0081369236744
Total NGGI,784,-246.8986810114663
Total NGGI,785,-33.57699541871135
Total NGGI,786,-187.48133452875672
Total NGGI,787,-148.53346560549718
Total NGGI,788,-230.26421435870472
Total NGGI,789,-172.79342442024804
Total NGGI,790,-54.81782178328471
Total NGGI,791,-79.86843792141252
Total NGGI,792,-171.37148504994826
Total NGGI,793,-120.60261761602311
Total NGGI,794,-111.88626399242068
Total NGGI,795,-94.32626946604664
Total NGGI,796,-101.68567105821283
Total NGGI,797,-120.26289128704894
Total NGGI,798,-98.75353670578264
Total NGGI,799,-130.3114863928455
Total NGGI,800,-24.115206616891147
Total NGGI,801,-123.23995712791138
Total NGGI,802,-340.89264701818456
Total NGGI,803,-6.770020989087157
Total NGGI,804,-197.85919534326098
Total NGGI,805,-70.52774720199731
Total NGGI,806,-85.74205009710307
Total NGGI,807,-94.13558972484599
Total NGGI,808,-125.09863434788903
Total NGGI,809,-141.85361201058504
Total NGGI,810,-111.21426699503878
Total NGGI,811,-49.51207232859034
Total NGGI,812,-85.64570153056354
Total NGGI,813,-124.94035870843943
Total NGGI,814,-138.6056787931472
Total NGGI,815,-164.2112144470144
Total NGGI,816,-190.04597875933203
Total NGGI,817,-178.46810386099696
Total NGGI,818,-518.6721447527431
Total NGGI,819,-150.64016359499573
Total NGGI,820,0.8421588640973577
Total NGGI,821,-87.55939218504747
Total NGGI,822,-103.31908299129674
Total NGGI,823,-135.18069559530346
Total NGGI,824,-123.18197412160592
Total NGGI,825,-202.57317620626424
Total NGGI,826,-113.8369051083663
Total NGGI,827,-69.99580227469094
Total NGGI,828,-229.67663894733988
Total NGGI,829,-13.73627924962494
Total NGGI,830,-88.99142357902862
Total NGGI,831,-45.39176074315812
Total NGGI,832,-98.439184595242
Total NGGI,833,-193.41429677845744
Total NGGI,834,-67.80579645444297
Total NGGI,835,-66.81865632568179
Total NGGI,836,-112.87475576092939
Total NGGI,837,-90.26876740460138
Total NGGI,838,-234.35908575973173
Total NGGI,839,-136.84590441287378
Total NGGI,840,-276.5612923304763
Total NGGI,841,-116.04949959512983
Total NGGI,842,-136.75391257524052
Total NGGI,843,-431.791316241361
Total NGGI,844,-116.3096705856138
Total NGGI,845,-129.50316485411503
Total NGGI,846,-241.82470553817546
Total NGGI,847,-74.24899658021052
Total NGGI,848,-132.70736502866674
Total NGGI,849,-426.35657707498495
Total NGGI,850,-145.6212581395226
Total NGGI,851,-144.14776405001672
Total NGGI,852,-210.72788642028002
Total NGGI,853,-61.1644163683785
Total NGGI,854,-70.5962662369874
Total NGGI,855,-37.45476382872565
Total NGGI,856,-68.73412914138281
Total NGGI,857,-99.85397203767988
Total NGGI,858,-91.26679053049486
Total NGGI,859,-1292.3118794144805
Total NGGI,860,-42.7961024468514
Total NGGI,861,-140.69183981036332
Total NGGI,862,-69.96532330420673
Total NGGI,863,-225.7638149462444
Total NGGI,864,-142.31283688617694
Total NGGI,865,-96.83217121827894
Total NGGI,866,-52.220455221163995
Total NGGI,867,-64.65123163396706
Total NGGI,868,-92.4136687314728
Total NGGI,869,-64.92498662370524
Total NGGI,870,-71.67640420604424
Total NGGI,871,-72.78371708625386
Total NGGI,872,-337.49345803376747
Total NGGI,873,-190.63048580115355
Total NGGI,874,-142.1485745359839
Total NGGI,875,-121.47611560993478
Total NGGI,876,1.542645282161329
Total NGGI,877,-49.446059058734974
Total NGGI,878,-201.02027198368617
Total NGGI,879,-110.96723841328074
Total NGGI,880,-50.48212806738249
Total NGGI,881,-54.55858608891065
Total NGGI,882,-184.46823422874584
Total NGGI,883,-170.54517545079997
Total NGGI,884,-80.34593660872876
Total NGGI,885,-57.476708004714794
Total NGGI,886,-227.6071477994139
Total NGGI,887,-35.743672905126864
Total NGGI,888,-177.47905134775743
Total NGGI,889,-75.59829159708039
Total NGGI,890,-68.80728030946837
Total NGGI,891,-214.59427835186395
Total NGGI,892,-112.70029495916928
Total NGGI,893,-100.21489115617241
Total NGGI,894,-129.28291185598434
Total NGGI,895,-291.2165019617218
Total NGGI,896,-141.76155458232688
Total NGGI,897,-130.76878572782388
Total NGGI,898,-287.3573537400567
Total NGGI,899,-45.790049002425356
Total NGGI,900,-171.15550692406097
Total NGGI,901,-89.6738254513345
Total NGGI,902,-119.37209519837944
Total NGGI,903,-131.45206945942084
Total NGGI,904,-130.27904090528202
Total NGGI,905,-198.04488884587582
Total NGGI,906,-51.201662963307214
Total NGGI,907,-101.22644019939106
Total NGGI,908,-270.0052621688498
Total NGGI,909,-36.50202871562025
Total NGGI,910,-185.60675321763696
Total NGGI,911,-198.0063845222854
Total NGGI,912,-67.90590808359181
Total NGGI,913,-58.84008369260734
Total NGGI,914,-122.48565578127354
Total NGGI,915,-211.223584779114
Total NGGI,916,-148.30198715059996
Total NGGI,917,-67.78133710373481
Total NGGI,918,-102.08341267867463
Total NGGI,919,-253.25876426252304
Total NGGI,920,-132.674646213378
Total NGGI,921,-118.81438490644734
Total NGGI,922,-224.99472020514395
Total NGGI,923,-227.6056837347761
Total NGGI,924,-103.55646998407707
Total NGGI,925,-168.12245337454144
Total NGGI,926,-174.00621873020404
Total NGGI,927,-26.115215078091595
Total NGGI,928,-202.76345688163929
Total NGGI,929,-149.2535504942817
Total NGGI,930,-18.277921763092262
Total NGGI,931,-166.44763294560636
Total NGGI,932,-67.62135051242417
Total NGGI,933,-129.55892234092042
Total NGGI,934,-157.53369495572815
Total NGGI,935,-138.23990352610403
Total NGGI,936,-59.42517922642097
Total NGGI,937,-182.3379818937913
Total NGGI,938,-122.74842486567012
Total NGGI,939,-83.90946526536159
Total NGGI,940,-202.13920576302053
Total NGGI,941,-85.61966080578682
Total NGGI,942,-169.05035158418792
Total NGGI,943,-230.3809738268144
Total NGGI,944,-105.26568493985562
Total NGGI,945,-115.94822833691686
Total NGGI,946,-312.63299997909013
Total NGGI,947,-91.22326995793502
Total NGGI,948,-83.27821622680214
Total NGGI,949,-126.59350985975729
Total NGGI,950,-98.37673726767905
Total NGGI,951,-4.754269321434037
Total NGGI,952,-71.58520118904863
Total NGGI,953,-20.79228260892308
Total NGGI,954,-144.38025640210552
Total NGGI,955,-87.1403340673387
Total NGGI,956,-195.35744302053962
Total NGGI,957,-242.53006818205222
Total NGGI,958,-517.694919466985
Total NGGI,959,-174.51431762909306
Total NGGI,960,-235.05280192657682
Total NGGI,961,-117.67764656440312
Total NGGI,962,-559.7940358393313
Total NGGI,963,-75.53344870389257
Total NGGI,964,-237.34272046559607
Total NGGI,965,-36.40951316111494
Total NGGI,966,-43.17063515736213
Total NGGI,967,-103.32064247109331
Total NGGI,968,-161.85521421716984
Total NGGI,969,-152.42768334660752
Total NGGI,970,-222.33189867956318
Total NGGI,971,-194.24577546839353
Total NGGI,972,-182.4827327592325
Total NGGI,973,-265.88620230039123
Total NGGI,974,-48.664594066465945
Total NGGI,975,-98.43455605609441
Total NGGI,976,-90.15287897111864
Total NGGI,977,-92.44286630932694
Total NGGI,978,-57.923867186333595
Total NGGI,979,-55.014698626631066
Total NGGI,980,-100.2814062316401
Total NGGI,981,-55.347577865985805
Total NGGI,982,-44.94226785139078
Total NGGI,983,-76.66661270253115
Total NGGI,984,-61.492315204206406
Total NGGI,985,-227.83169966447107
Total NGGI,986,-148.99917595255022
Total NGGI,987,-463.2436543646094
Total NGGI,988,-59.424803629738676
Total NGGI,989,-115.68445377708854
Total NGGI,990,-95.94856380382411
Total NGGI,991,-287.6493679151263
Total NGGI,992,-193.3114811994962
Total NGGI,993,-54.46337073883576
Total NGGI,994,-194.44666014514297
Total NGGI,995,-136.22589075168966
Total NGGI,996,-38.22563564235798
Total NGGI,997,-106.07868256079267
Total NGGI,998,-54.92548972924443
Total NGGI,999,-84.63723744019943
Total NGGI,1000,-43.69821642969403
