analysis_description,iteration_number,sum_total_MillionTonnesCO2
Total NGGI,775,-36.0659453044181
Total NGGI,776,-61.53039172665324
Total NGGI,777,-120.7091996757939
Total NGGI,778,-41.22043433569002
Total NGGI,779,-43.79712738624117
Total NGGI,780,-7.46546423523949
Total NGGI,781,-73.00289377790217
Total NGGI,782,-66.40976265624293
Total NGGI,783,-60.917327516162324
Total NGGI,784,-37.287291962784245
Total NGGI,785,-75.68666904342997
Total NGGI,786,-65.50273755551186
Total NGGI,787,-70.01508171696757
Total NGGI,788,-64.09328876177031
Total NGGI,789,-42.64289028434905
Total NGGI,790,-51.240774038999305
Total NGGI,791,-60.030443414283255
Total NGGI,792,-39.526372487524434
Total NGGI,793,-75.38763537127741
Total NGGI,794,-105.0601935884801
Total NGGI,795,-74.70332962241861
Total NGGI,796,-55.590881895089296
Total NGGI,797,-29.063690451060936
Total NGGI,798,-72.90459977772728
Total NGGI,799,-38.8578629195034
Total NGGI,800,-53.81726272729313
Total NGGI,801,-45.928292771545685
Total NGGI,802,-35.533437813014416
Total NGGI,803,-41.97261443873787
Total NGGI,804,-43.02122020653726
Total NGGI,805,-53.97274383205223
Total NGGI,806,-63.96265355605605
Total NGGI,807,-78.86033026249648
Total NGGI,808,-91.46892998790194
Total NGGI,809,-62.12062982398218
Total NGGI,810,-46.54084875633823
Total NGGI,811,-54.73796199008797
Total NGGI,812,-5.514838437245302
Total NGGI,813,-113.93955737378704
Total NGGI,814,-49.97715413870877
Total NGGI,815,-76.22968124215595
Total NGGI,816,-34.536706392668165
Total NGGI,817,-14.699198857285024
Total NGGI,818,-73.12725021517686
Total NGGI,819,5.007766220833128
Total NGGI,820,-15.620875159206697
Total NGGI,821,-73.76166826008716
Total NGGI,822,-51.29394115243818
Total NGGI,823,-17.079292062520057
Total NGGI,824,-64.36697829221224
Total NGGI,825,-33.62851041830466
Total NGGI,826,-84.08056742263513
Total NGGI,827,-61.36386109452831
Total NGGI,828,-55.05797240247013
Total NGGI,829,-9.889704899163736
Total NGGI,830,-25.579480975864584
Total NGGI,831,-65.17246162912969
Total NGGI,832,-65.78844357890127
Total NGGI,833,-24.914343017100983
Total NGGI,834,-48.57120278717969
Total NGGI,835,-35.38879454687846
Total NGGI,836,-89.32340184226709
Total NGGI,837,-51.180121166146584
Total NGGI,838,-62.31720168257881
Total NGGI,839,-76.45161910821
Total NGGI,840,-80.13461507627409
Total NGGI,841,-21.673858198732304
Total NGGI,842,-81.98882465747684
Total NGGI,843,-35.00039093767622
Total NGGI,844,-61.0892282081505
Total NGGI,845,-110.6309825265609
Total NGGI,846,-41.45369668482115
Total NGGI,847,-40.490354964818216
Total NGGI,848,-4.1537571086063485
Total NGGI,849,-13.08529593076905
Total NGGI,850,-66.13540509720222
Total NGGI,851,-50.43187327604376
Total NGGI,852,-51.55103009954284
Total NGGI,853,-61.71671537756786
Total NGGI,854,-54.57775761271308
Total NGGI,855,-28.07664284681676
Total NGGI,856,-41.084556056161034
Total NGGI,857,-58.646064817332835
Total NGGI,858,-33.94144263624414
Total NGGI,859,-43.315945144357386
Total NGGI,860,-68.46131426982056
Total NGGI,861,-22.77493438199791
Total NGGI,862,-30.392349513924334
Total NGGI,863,-52.12290770784032
Total NGGI,864,-48.28320737555397
Total NGGI,865,-50.84905170766383
Total NGGI,866,-63.68076109213005
Total NGGI,867,-77.40505598279064
Total NGGI,868,-31.707448146539193
Total NGGI,869,-54.3055011003453
Total NGGI,870,-47.82470587806999
Total NGGI,871,-32.9652279068928
Total NGGI,872,-55.12073426567602
Total NGGI,873,-56.199801762107164
Total NGGI,874,-62.83234232597884
Total NGGI,875,-11.118861483022304
Total NGGI,876,-38.20710022678963
Total NGGI,877,-52.49422604815723
Total NGGI,878,-50.24553319649643
Total NGGI,879,-57.49305916494529
Total NGGI,880,-29.880427177319138
Total NGGI,881,-47.30523687805448
Total NGGI,882,-57.846888656157475
Total NGGI,883,-41.04215392217352
Total NGGI,884,-20.219469222301523
Total NGGI,885,-29.029056088252855
Total NGGI,886,-28.765769317384585
Total NGGI,887,-67.22167407268113
Total NGGI,888,-67.60132817787425
Total NGGI,889,-46.88280651873991
Total NGGI,890,-30.048139223336157
Total NGGI,891,-69.94035055199353
Total NGGI,892,4.864720612303074
Total NGGI,893,-37.22251540890586
Total NGGI,894,-51.96049329093894
Total NGGI,895,-22.595041662012356
Total NGGI,896,-80.50636194835602
Total NGGI,897,-8.7727495519567391
Total NGGI,898,-51.76270196912775
Total NGGI,899,-72.03085209526037
Total NGGI,900,-59.776528007378246
Total NGGI,901,-94.86318144599194
Total NGGI,902,-61.55806369631409
Total NGGI,903,-34.69218100255923
Total NGGI,904,-44.81773558441652
Total NGGI,905,-47.31877290471393
Total NGGI,906,-62.619221336345696
Total NGGI,907,-73.99437209928932
Total NGGI,908,-18.44144960389887
Total NGGI,909,-24.63822591062986
Total NGGI,910,-98.45746581548697
Total NGGI,911,-48.8743542702123
Total NGGI,912,-35.6655193453291
Total NGGI,913,-79.33361237864095
Total NGGI,914,-38.48353296141345
Total NGGI,915,-41.00393051695727
Total NGGI,916,-49.63291811549735
Total NGGI,917,-84.00399952226647
Total NGGI,918,-53.73818261159696
Total NGGI,919,-88.99607240458957
Total NGGI,920,-58.633348514085206
Total NGGI,921,-125.79531490306563
Total NGGI,922,-15.845604680594104
Total NGGI,923,-40.9987766251886
Total NGGI,924,-55.768869327893206
Total NGGI,925,-5.111402532032515
Total NGGI,926,-47.531818291755165
Total NGGI,927,-65.24761929784974
Total NGGI,928,-73.6316230121084
Total NGGI,929,-32.58121108973739
Total NGGI,930,-75.7467964217157
Total NGGI,931,-56.76861581996061
Total NGGI,932,-12.881325332088522
Total NGGI,933,-80.7869016322904
Total NGGI,934,-50.36138016543186
Total NGGI,935,-47.18366969778867
Total NGGI,936,-59.32025436337766
Total NGGI,937,16.158655995152316
Total NGGI,938,-49.95311960948464
Total NGGI,939,-101.21212640841878
Total NGGI,940,-49.87495995997488
Total NGGI,941,-17.363809832629613
Total NGGI,942,-62.13812287735904
Total NGGI,943,-49.306103656218625
Total NGGI,944,-34.01256350471099
Total NGGI,945,-49.590194010403046
Total NGGI,946,-52.17274024026317
Total NGGI,947,2.6086513534957403
Total NGGI,948,-53.70956224894201
Total NGGI,949,-58.06245286542709
Total NGGI,950,-34.20957204583629
Total NGGI,951,-100.29165046526951
Total NGGI,952,-35.53032065616871
Total NGGI,953,-46.02191675813837
Total NGGI,954,-36.56630269312387
Total NGGI,955,-89.61017623378933
Total NGGI,956,-37.39777126516581
Total NGGI,957,-44.7948625704332
Total NGGI,958,-58.288014774353364
Total NGGI,959,-60.960808710983635
Total NGGI,960,-93.05339463286732
Total NGGI,961,-50.72204937251502
Total NGGI,962,-50.461291085570714
Total NGGI,963,-50.245600547491705
Total NGGI,964,-32.96745877640685
Total NGGI,965,-76.63246900388047
Total NGGI,966,-73.43289481133768
Total NGGI,967,-58.07304660919038
Total NGGI,968,-58.45457028243777
Total NGGI,969,-92.25700147525623
Total NGGI,970,-58.35528763282511
Total NGGI,971,-39.52884432966914
Total NGGI,972,-76.45022809755912
Total NGGI,973,-43.54238282090348
Total NGGI,974,-78.38535761678774
Total NGGI,975,-83.07791935715436
Total NGGI,976,-69.42305908574582
Total NGGI,977,-50.01094123554054
Total NGGI,978,-15.048629841967953
Total NGGI,979,-76.49100511136606
Total NGGI,980,-50.445087456375305
Total NGGI,981,-42.125257470835514
Total NGGI,982,-47.38180512377531
Total NGGI,983,-46.25395424540316
Total NGGI,984,-34.88030909298075
Total NGGI,985,-29.839637308833037
Total NGGI,986,-42.345616221029736
Total NGGI,987,-74.8832326337073
Total NGGI,988,-39.31264406342181
Total NGGI,989,-48.55206113199376
Total NGGI,990,-94.56982977422545
Total NGGI,991,-27.025429761841874
Total NGGI,992,-39.352382641305304
Total NGGI,993,-101.37666732675197
Total NGGI,994,-78.9023291349122
Total NGGI,995,-24.401202652934998
Total NGGI,996,-82.68994226050744
Total NGGI,997,-1.624837664634609
Total NGGI,998,-76.26493767644945
Total NGGI,999,-62.221132709131076
Total NGGI,1000,-49.48797475805806
