study_id,site_id,plot_id,mean_agb_g_m2,vegetation_class,mean_tree_height,g_co2_m2,study
byrd_2018,SERC,51,382.29,emergent,NA,672.83651664,Byrd 2018
byrd_2018,SERC,53,486.87,emergent,NA,856.89898992,Byrd 2018
byrd_2018,SERC,52,321.44,emergent,NA,565.7395430400001,Byrd 2018
byrd_2018,SERC,43,500.26,emergent,NA,880.46560416,Byrd 2018
byrd_2018,SERC,44,826.77,emergent,NA,1455.1284283199998,Byrd 2018
byrd_2018,SERC,56,1116.25,emergent,NA,1964.6178599999998,Byrd 2018
byrd_2018,SERC,55,1991.57,emergent,NA,3505.19506512,Byrd 2018
byrd_2018,SERC,54,1550.78,emergent,NA,2729.3976124799997,Byrd 2018
byrd_2018,SERC,37,333.35,emergent,NA,586.7013336,Byrd 2018
byrd_2018,SERC,39,455.07,emergent,NA,800.93048112,Byrd 2018
byrd_2018,SERC,38,519.31,emergent,NA,913.9939089599999,Byrd 2018
byrd_2018,SERC,40,1470.95,emergent,NA,2588.8955352000003,Byrd 2018
byrd_2018,SERC,41,1284.96,emergent,NA,2261.55015936,Byrd 2018
byrd_2018,SERC,42,625.83,emergent,NA,1101.47081328,Byrd 2018
byrd_2018,SERC,32,2239.22,shrub,NA,3941.0630275199997,Byrd 2018
byrd_2018,SERC,31,1887.26,shrub,NA,3321.60779616,Byrd 2018
byrd_2018,SERC,33,4294.37,shrub,NA,7558.159909919999,Byrd 2018
byrd_2018,SERC,34,2388.68,shrub,NA,4204.11501888,Byrd 2018
byrd_2018,SERC,36,1425.13,shrub,NA,2508.2516020800003,Byrd 2018
byrd_2018,SERC,35,4060.89,shrub,NA,7147.231374239999,Byrd 2018
byrd_2018,SERC,59,782.2,emergent,NA,1376.6845152,Byrd 2018
byrd_2018,SERC,57,481.43,emergent,NA,847.32450288,Byrd 2018
byrd_2018,SERC,58,428.32,emergent,NA,753.85005312,Byrd 2018
byrd_2018,SERC,28,1217.83,emergent,NA,2143.4002852799995,Byrd 2018
byrd_2018,SERC,30,1717.7,emergent,NA,3023.1794832,Byrd 2018
byrd_2018,SERC,29,1372.97,emergent,NA,2416.4491675199997,Byrd 2018
byrd_2018,SERC,26,421.25,emergent,NA,741.40674,Byrd 2018
byrd_2018,SERC,27,1545.8,emergent,NA,2720.6327327999998,Byrd 2018
byrd_2018,SERC,25,853.89,emergent,NA,1502.86006224,Byrd 2018
byrd_2018,SERC,22,1342.29,emergent,NA,2362.4518766399997,Byrd 2018
byrd_2018,SERC,23,1554.89,emergent,NA,2736.63127824,Byrd 2018
byrd_2018,SERC,24,2348.75,emergent,NA,4133.837579999999,Byrd 2018
byrd_2018,SERC,64,665.7,emergent,NA,1171.6426512,Byrd 2018
byrd_2018,SERC,63,1037.12,emergent,NA,1825.3477939199997,Byrd 2018
byrd_2018,SERC,65,631.38,emergent,NA,1111.23890208,Byrd 2018
byrd_2018,SERC,60,1044.6,emergent,NA,1838.5127135999999,Byrd 2018
byrd_2018,SERC,61,981.18,emergent,NA,1726.89249888,Byrd 2018
byrd_2018,SERC,62,751.56,emergent,NA,1322.75762496,Byrd 2018
byrd_2018,SERC,15,1590.78,emergent,NA,2799.79825248,Byrd 2018
byrd_2018,SERC,17,1643.79,emergent,NA,2893.09670064,Byrd 2018
byrd_2018,SERC,16,1434.34,emergent,NA,2524.4613494399996,Byrd 2018
byrd_2018,SERC,19,2655.78,emergent,NA,4674.21529248,Byrd 2018
byrd_2018,SERC,20,2342.57,shrub,NA,4122.96068112,Byrd 2018
byrd_2018,SERC,18,2207.69,shrub,NA,3885.56972304,Byrd 2018
byrd_2018,SERC,12,57.72,emergent,NA,101.58812352,Byrd 2018
byrd_2018,SERC,14,157.58,emergent,NA,277.34332128,Byrd 2018
byrd_2018,SERC,13,145.98,emergent,NA,256.92713568,Byrd 2018
byrd_2018,SERC,11,1288.01,emergent,NA,2266.9182081599997,Byrd 2018
byrd_2018,SERC,10,1614.43,emergent,NA,2841.4226308800003,Byrd 2018
byrd_2018,SERC,9,1492.64,emergent,NA,2627.0702822400003,Byrd 2018
byrd_2018,SERC,7,1850,emergent,NA,3256.0296,Byrd 2018
byrd_2018,SERC,8,1685.7,emergent,NA,2966.8589712,Byrd 2018
byrd_2018,SERC,21,1405.73,emergent,NA,2474.10729168,Byrd 2018
byrd_2018,SERC,3,456.56,emergent,NA,803.55290496,Byrd 2018
byrd_2018,SERC,1,533.03,emergent,NA,938.1413284799999,Byrd 2018
byrd_2018,SERC,2,520.54,emergent,NA,916.1587286399999,Byrd 2018
byrd_2018,SERC,6,1299.54,emergent,NA,2287.21119264,Byrd 2018
byrd_2018,SERC,4,970.89,emergent,NA,1708.78193424,Byrd 2018
byrd_2018,SERC,5,1054.73,emergent,NA,1856.34167568,Byrd 2018
byrd_2018,Everglades,6SS2,174.17,emergent,NA,306.54198671999995,Byrd 2018
byrd_2018,Everglades,6SS2,159.38,emergent,NA,280.51135008,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,98.61,emergent,NA,173.55517776,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,144.11,emergent,NA,253.63590576000004,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,400.78,emergent,NA,705.37921248,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,253.16,emergent,NA,445.56565056,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,203.63,emergent,NA,358.39205807999997,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,190.03,emergent,NA,334.45584048,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,235.62,emergent,NA,414.69496992,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,310.83,emergent,NA,547.06577328,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,294.02,emergent,NA,517.47990432,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,118.67,emergent,NA,208.86109872,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,120.75,emergent,NA,212.52193200000002,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,166.51,emergent,NA,293.06026416,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,199.13,emergent,NA,350.47198607999997,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,158.36,emergent,NA,278.71613376,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,155.03,emergent,NA,272.85528048000003,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,99.75,emergent,NA,175.56159599999998,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,136.51,emergent,NA,240.25978416,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,145.67,emergent,NA,256.38153072,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,203.18,emergent,NA,357.60005087999997,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,95.49,emergent,NA,168.06392784,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,209.43,emergent,NA,368.60015088,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,130.47,emergent,NA,229.62928752,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,164.83,emergent,NA,290.10343728000004,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,108.01,emergent,NA,190.09932816,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,219.67,emergent,NA,386.62271472,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,107.56,emergent,NA,189.30732096,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,347.65,emergent,NA,611.8695624,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,143.27,emergent,NA,252.15749232,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,121.55,emergent,NA,213.9299448,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,204.57,emergent,NA,360.04647312,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,212.87,emergent,NA,374.65460592,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,127.5,emergent,NA,224.40204,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,149.11,emergent,NA,262.43598576,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,105.4,emergent,NA,185.5056864,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,215.58,emergent,NA,379.42424928,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,101.06,emergent,NA,177.86721696,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,182.29,emergent,NA,320.83331663999996,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,234.89,emergent,NA,413.41015824,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,163.1,emergent,NA,287.0586096,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,144.9,emergent,NA,255.02631840000004,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,86.66,emergent,NA,152.52298656,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,110.93,emergent,NA,195.23857488000002,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,94.2,emergent,NA,165.7935072,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,104.87,emergent,NA,184.57287792000002,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,220.37,emergent,NA,387.85472591999996,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,278.09,emergent,NA,489.4428494399999,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,112.86,emergent,NA,198.63540576,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,231.24,emergent,NA,406.98609984,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,203.52,emergent,NA,358.19845632,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,108.16,emergent,NA,190.36333055999998,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,211.1,emergent,NA,371.53937759999997,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,122.55,emergent,NA,215.6899608,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,321.61,emergent,NA,566.0387457600001,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,118.86,emergent,NA,209.19550175999998,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,155.3,emergent,NA,273.3304848,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,90.08,emergent,NA,158.54224127999998,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,165.84,emergent,NA,291.88105344,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,187.79,emergent,NA,330.51340464,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,205.87,emergent,NA,362.33449392,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,285.49,emergent,NA,502.46696784,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,188.56,emergent,NA,331.86861696,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,251.2,emergent,NA,442.1160192,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,303.3,emergent,NA,533.8128528,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,171.97,emergent,NA,302.66995152,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,165.12,emergent,NA,290.61384191999997,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,146.7,emergent,NA,258.1943472,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,205.77,emergent,NA,362.15849232,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,192.15,emergent,NA,338.18707440000003,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,134.93,emergent,NA,237.47895888000002,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,227.79,emergent,NA,400.91404464,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,330.83,emergent,NA,582.26609328,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,110.89,emergent,NA,195.16817423999998,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,151.51,emergent,NA,266.66002416,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,137.44,emergent,NA,241.89659903999998,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,158.34,emergent,NA,278.68093344,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,221.93,emergent,NA,390.60035088,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,146.98,emergent,NA,258.68715168,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,152.48,emergent,NA,268.36723968,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,145.4,emergent,NA,255.9063264,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,157.74,emergent,NA,277.62492384,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,187.19,emergent,NA,329.45739504,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,253.1,emergent,NA,445.4600496,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,157.22,emergent,NA,276.70971552,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,175.27,emergent,NA,308.47800431999997,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,166.01,emergent,NA,292.18025616,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,212.61,emergent,NA,374.19700176000003,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,206.6,emergent,NA,363.61930559999996,Byrd 2018
byrd_2018,Everglades,TS_Ph6b,255.48,emergent,NA,449.64888768,Byrd 2018
byrd_2018,Everglades,1SS2,137.04,emergent,NA,241.19259263999996,Byrd 2018
byrd_2018,Everglades,1SS2,99.1,emergent,NA,174.4175856,Byrd 2018
byrd_2018,Everglades,2SS1,17.94,emergent,NA,31.57468704,Byrd 2018
byrd_2018,Everglades,6S,6.73,emergent,NA,11.84490768,Byrd 2018
byrd_2018,Everglades,6S,17.06,emergent,NA,30.025872959999997,Byrd 2018
byrd_2018,Everglades,1SS1,59.97,emergent,NA,105.54815952,Byrd 2018
byrd_2018,Everglades,1SS1,111.49,emergent,NA,196.22418383999997,Byrd 2018
byrd_2018,Everglades,2S,4.6,emergent,NA,8.096073599999999,Byrd 2018
byrd_2018,Everglades,6N,48.03,emergent,NA,84.53356848,Byrd 2018
byrd_2018,Everglades,6N,19.45,emergent,NA,34.2323112,Byrd 2018
byrd_2018,Everglades,TS_Ph3,187.05,emergent,NA,329.21099280000004,Byrd 2018
byrd_2018,Everglades,TS_Ph3,208.14,emergent,NA,366.32973023999995,Byrd 2018
byrd_2018,Everglades,TS_Ph3,172.01,emergent,NA,302.74035216,Byrd 2018
byrd_2018,Everglades,TS_Ph3,114.82,emergent,NA,202.08503712,Byrd 2018
byrd_2018,Everglades,TS_Ph3,90.89,emergent,NA,159.96785424,Byrd 2018
byrd_2018,Everglades,TS_Ph3,398.09,emergent,NA,700.6447694399999,Byrd 2018
byrd_2018,Everglades,TS_Ph3,156.88,emergent,NA,276.11131007999995,Byrd 2018
byrd_2018,Everglades,TS_Ph3,117.16,emergent,NA,206.20347456,Byrd 2018
byrd_2018,Everglades,TS_Ph3,263.61,emergent,NA,463.95781776000007,Byrd 2018
byrd_2018,Everglades,TS_Ph3,183.29,emergent,NA,322.59333263999997,Byrd 2018
byrd_2018,Everglades,TS_Ph3,168.96,emergent,NA,297.37230336000005,Byrd 2018
byrd_2018,Everglades,TS_Ph3,126.69,emergent,NA,222.97642704,Byrd 2018
byrd_2018,Everglades,TS_Ph3,216.2,emergent,NA,380.5154592,Byrd 2018
byrd_2018,Everglades,TS_Ph3,231.51,emergent,NA,407.46130416,Byrd 2018
byrd_2018,Everglades,TS_Ph3,165.6,emergent,NA,291.4586496,Byrd 2018
byrd_2018,Everglades,TS_Ph3,350.37,emergent,NA,616.6568059199999,Byrd 2018
byrd_2018,Everglades,TS_Ph3,288.04,emergent,NA,506.95500863999996,Byrd 2018
byrd_2018,Everglades,TS_Ph3,121.2,emergent,NA,213.31393920000002,Byrd 2018
byrd_2018,Everglades,TS_Ph3,110.93,emergent,NA,195.23857488000002,Byrd 2018
byrd_2018,Everglades,TS_Ph3,129.13,emergent,NA,227.27086608,Byrd 2018
byrd_2018,Everglades,TS_Ph3,239.79,emergent,NA,422.03423664,Byrd 2018
byrd_2018,Everglades,TS_Ph3,122.68,emergent,NA,215.91876288,Byrd 2018
byrd_2018,Everglades,TS_Ph3,189.53,emergent,NA,333.57583248000003,Byrd 2018
byrd_2018,Everglades,TS_Ph3,316.59,emergent,NA,557.20346544,Byrd 2018
byrd_2018,Everglades,TS_Ph3,379.74,emergent,NA,668.34847584,Byrd 2018
byrd_2018,Everglades,TS_Ph3,160.14,emergent,NA,281.84896224,Byrd 2018
byrd_2018,Everglades,TS_Ph3,137.33,emergent,NA,241.70299728000003,Byrd 2018
byrd_2018,Everglades,TS_Ph3,158.06,emergent,NA,278.18812896,Byrd 2018
byrd_2018,Everglades,TS_Ph3,113.6,emergent,NA,199.9378176,Byrd 2018
byrd_2018,Everglades,TS_Ph3,385.79,emergent,NA,678.9965726400001,Byrd 2018
byrd_2018,Everglades,TS_Ph3,147.51,emergent,NA,259.61996015999995,Byrd 2018
byrd_2018,Everglades,TS_Ph3,189.04,emergent,NA,332.71342463999997,Byrd 2018
byrd_2018,Everglades,TS_Ph3,190.23,emergent,NA,334.80784367999996,Byrd 2018
byrd_2018,Everglades,TS_Ph3,146.34,emergent,NA,257.56074144,Byrd 2018
byrd_2018,Everglades,TS_Ph3,192.85,emergent,NA,339.4190856,Byrd 2018
byrd_2018,Everglades,TS_Ph3,95.74,emergent,NA,168.50393184,Byrd 2018
byrd_2018,Everglades,TS_Ph3,311.79,emergent,NA,548.75538864,Byrd 2018
byrd_2018,Everglades,TS_Ph3,181.6,emergent,NA,319.6189056,Byrd 2018
byrd_2018,Everglades,TS_Ph3,73.62,emergent,NA,129.57237792,Byrd 2018
byrd_2018,Everglades,TS_Ph3,298.63,emergent,NA,525.59357808,Byrd 2018
byrd_2018,Everglades,TS_Ph3,162.3,emergent,NA,285.6505968,Byrd 2018
byrd_2018,Everglades,TS_Ph3,225.86,emergent,NA,397.51721376,Byrd 2018
byrd_2018,Everglades,TS_Ph3,68.45,emergent,NA,120.4730952,Byrd 2018
byrd_2018,Everglades,TS_Ph3,102.16,emergent,NA,179.80323456,Byrd 2018
byrd_2018,Everglades,TS_Ph3,132.08,emergent,NA,232.46291328,Byrd 2018
byrd_2018,Everglades,TS_Ph3,57.4,emergent,NA,101.0249184,Byrd 2018
byrd_2018,Everglades,TS_Ph3,161.92,emergent,NA,284.98179072,Byrd 2018
byrd_2018,Everglades,TS_Ph3,96.39,emergent,NA,169.64794224,Byrd 2018
byrd_2018,Everglades,TS_Ph3,163.62,emergent,NA,287.97381792,Byrd 2018
byrd_2018,Everglades,TS_Ph3,123.09,emergent,NA,216.64036944,Byrd 2018
byrd_2018,Everglades,TS_Ph3,252.61,emergent,NA,444.59764176000004,Byrd 2018
byrd_2018,Everglades,TS_Ph3,74.25,emergent,NA,130.681188,Byrd 2018
byrd_2018,Everglades,TS_Ph3,183.84,emergent,NA,323.56134144000004,Byrd 2018
byrd_2018,Everglades,TS_Ph3,164.67,emergent,NA,289.82183471999997,Byrd 2018
byrd_2018,Everglades,TS_Ph3,135.72,emergent,NA,238.86937152000002,Byrd 2018
byrd_2018,Everglades,TS_Ph3,58.02,emergent,NA,102.11612832,Byrd 2018
byrd_2018,Everglades,TS_Ph3,409.16,emergent,NA,720.1281465600001,Byrd 2018
byrd_2018,Everglades,TS_Ph3,363.06,emergent,NA,638.9914089600001,Byrd 2018
byrd_2018,Everglades,TS_Ph3,78.94,emergent,NA,138.93566304,Byrd 2018
byrd_2018,Everglades,TS_Ph3,131.97,emergent,NA,232.26931152,Byrd 2018
byrd_2018,Everglades,TS_Ph3,119.61,emergent,NA,210.51551376,Byrd 2018
byrd_2018,Everglades,TS_Ph3,71.23,emergent,NA,125.36593968000001,Byrd 2018
byrd_2018,Everglades,TS_Ph3,118.91,emergent,NA,209.28350256,Byrd 2018
