"class_2006","abbrev_2006","class_2010","abbrev_2010","class","abbrev","variableType","mappedPixelCount","mappedPixelCountSD"
"Palustrine Scrub/Shrub Wetland","PSS","Developed Open Space","OSD","Palustrine Scrub/Shrub Wetland to Developed Open Space","PSS_OSD","random",0,0
"Palustrine Scrub/Shrub Wetland","PSS","Cultivated","CULT","Palustrine Scrub/Shrub Wetland to Cultivated","PSS_CULT","random",0,0
"Palustrine Scrub/Shrub Wetland","PSS","Pasture/Hay","PAST","Palustrine Scrub/Shrub Wetland to Pasture/Hay","PSS_PAST","random",0,0
"Palustrine Scrub/Shrub Wetland","PSS","Grassland","GRS","Palustrine Scrub/Shrub Wetland to Grassland","PSS_GRS","random",0,0
"Palustrine Scrub/Shrub Wetland","PSS","Deciduous Forest","DEC","Palustrine Scrub/Shrub Wetland to Deciduous Forest","PSS_DEC","random",0,0
"Palustrine Scrub/Shrub Wetland","PSS","Evergreen Forest","EVR","Palustrine Scrub/Shrub Wetland to Evergreen Forest","PSS_EVR","random",0,0
"Palustrine Scrub/Shrub Wetland","PSS","Mixed Forest","MIX","Palustrine Scrub/Shrub Wetland to Mixed Forest","PSS_MIX","random",0,0
"Palustrine Scrub/Shrub Wetland","PSS","Scrub/Shrub","SS","Palustrine Scrub/Shrub Wetland to Scrub/Shrub","PSS_SS","random",0,0
"Palustrine Scrub/Shrub Wetland","PSS","Palustrine Forested Wetland","PFW","Palustrine Scrub/Shrub Wetland to Palustrine Forested Wetland","PSS_PFW","random",0,0
"Palustrine Scrub/Shrub Wetland","PSS","Palustrine Scrub/Shrub Wetland","PSS","Palustrine Scrub/Shrub Wetland to Palustrine Scrub/Shrub Wetland","PSS_PSS","random",0,0
"Palustrine Scrub/Shrub Wetland","PSS","Palustrine Emergent Wetland","PEM","Palustrine Scrub/Shrub Wetland to Palustrine Emergent Wetland","PSS_PEM","random",0,0
"Palustrine Scrub/Shrub Wetland","PSS","Unconsolidated Shore","UCS","Palustrine Scrub/Shrub Wetland to Unconsolidated Shore","PSS_UCS","random",0,0
"Palustrine Scrub/Shrub Wetland","PSS","Bare Land","BAR","Palustrine Scrub/Shrub Wetland to Bare Land","PSS_BAR","random",0,0
"Palustrine Scrub/Shrub Wetland","PSS","Water","OW","Palustrine Scrub/Shrub Wetland to Water","PSS_OW","random",0,0
"Palustrine Scrub/Shrub Wetland","PSS","Palustrine Aquatic Bed","PAB","Palustrine Scrub/Shrub Wetland to Palustrine Aquatic Bed","PSS_PAB","random",0,0
"Palustrine Scrub/Shrub Wetland","PSS","Estuarine Aquatic Bed","EAB","Palustrine Scrub/Shrub Wetland to Estuarine Aquatic Bed","PSS_EAB","random",0,0
"Palustrine Scrub/Shrub Wetland","PSS","Snow/Ice","SNOW","Palustrine Scrub/Shrub Wetland to Snow/Ice","PSS_SNOW","random",0,0
"Palustrine Emergent Wetland","PEM","High Intensity Developed","HID","Palustrine Emergent Wetland to High Intensity Developed","PEM_HID","random",0,0
"Palustrine Emergent Wetland","PEM","Medium Intensity Developed","MID","Palustrine Emergent Wetland to Medium Intensity Developed","PEM_MID","random",0,0
"Palustrine Emergent Wetland","PEM","Low Intensity Developed","LID","Palustrine Emergent Wetland to Low Intensity Developed","PEM_LID","random",0,0
"Palustrine Emergent Wetland","PEM","Developed Open Space","OSD","Palustrine Emergent Wetland to Developed Open Space","PEM_OSD","random",0,0
"Palustrine Emergent Wetland","PEM","Cultivated","CULT","Palustrine Emergent Wetland to Cultivated","PEM_CULT","random",0,0
"Palustrine Emergent Wetland","PEM","Pasture/Hay","PAST","Palustrine Emergent Wetland to Pasture/Hay","PEM_PAST","random",0,0
"Palustrine Emergent Wetland","PEM","Grassland","GRS","Palustrine Emergent Wetland to Grassland","PEM_GRS","random",0,0
"Palustrine Emergent Wetland","PEM","Deciduous Forest","DEC","Palustrine Emergent Wetland to Deciduous Forest","PEM_DEC","random",0,0
"Palustrine Emergent Wetland","PEM","Evergreen Forest","EVR","Palustrine Emergent Wetland to Evergreen Forest","PEM_EVR","random",0,0
"Palustrine Emergent Wetland","PEM","Mixed Forest","MIX","Palustrine Emergent Wetland to Mixed Forest","PEM_MIX","random",0,0
"Palustrine Emergent Wetland","PEM","Scrub/Shrub","SS","Palustrine Emergent Wetland to Scrub/Shrub","PEM_SS","random",0,0
"Palustrine Emergent Wetland","PEM","Palustrine Forested Wetland","PFW","Palustrine Emergent Wetland to Palustrine Forested Wetland","PEM_PFW","random",0,0
"Palustrine Emergent Wetland","PEM","Palustrine Scrub/Shrub Wetland","PSS","Palustrine Emergent Wetland to Palustrine Scrub/Shrub Wetland","PEM_PSS","random",0,0
"Palustrine Emergent Wetland","PEM","Palustrine Emergent Wetland","PEM","Palustrine Emergent Wetland to Palustrine Emergent Wetland","PEM_PEM","random",0,0
"Palustrine Emergent Wetland","PEM","Unconsolidated Shore","UCS","Palustrine Emergent Wetland to Unconsolidated Shore","PEM_UCS","random",0,0
"Palustrine Emergent Wetland","PEM","Bare Land","BAR","Palustrine Emergent Wetland to Bare Land","PEM_BAR","random",0,0
"Palustrine Emergent Wetland","PEM","Water","OW","Palustrine Emergent Wetland to Water","PEM_OW","random",0,0
"Palustrine Emergent Wetland","PEM","Palustrine Aquatic Bed","PAB","Palustrine Emergent Wetland to Palustrine Aquatic Bed","PEM_PAB","random",0,0
"Palustrine Emergent Wetland","PEM","Estuarine Aquatic Bed","EAB","Palustrine Emergent Wetland to Estuarine Aquatic Bed","PEM_EAB","random",0,0
"Palustrine Emergent Wetland","PEM","Snow/Ice","SNOW","Palustrine Emergent Wetland to Snow/Ice","PEM_SNOW","random",0,0
"Unconsolidated Shore","UCS","Palustrine Forested Wetland","PFW","Unconsolidated Shore to Palustrine Forested Wetland","UCS_PFW","random",0,0
"Unconsolidated Shore","UCS","Palustrine Scrub/Shrub Wetland","PSS","Unconsolidated Shore to Palustrine Scrub/Shrub Wetland","UCS_PSS","random",0,0
"Unconsolidated Shore","UCS","Palustrine Emergent Wetland","PEM","Unconsolidated Shore to Palustrine Emergent Wetland","UCS_PEM","random",0,0
"Bare Land","BAR","Palustrine Forested Wetland","PFW","Bare Land to Palustrine Forested Wetland","BAR_PFW","random",0,0
"Bare Land","BAR","Palustrine Scrub/Shrub Wetland","PSS","Bare Land to Palustrine Scrub/Shrub Wetland","BAR_PSS","random",0,0
"Bare Land","BAR","Palustrine Emergent Wetland","PEM","Bare Land to Palustrine Emergent Wetland","BAR_PEM","random",0,0
"Water","OW","Palustrine Forested Wetland","PFW","Water to Palustrine Forested Wetland","OW_PFW","random",0,0
"Water","OW","Palustrine Scrub/Shrub Wetland","PSS","Water to Palustrine Scrub/Shrub Wetland","OW_PSS","random",0,0
"Water","OW","Palustrine Emergent Wetland","PEM","Water to Palustrine Emergent Wetland","OW_PEM","random",0,0
"Palustrine Aquatic Bed","PAB","Palustrine Forested Wetland","PFW","Palustrine Aquatic Bed to Palustrine Forested Wetland","PAB_PFW","random",0,0
"Palustrine Aquatic Bed","PAB","Palustrine Scrub/Shrub Wetland","PSS","Palustrine Aquatic Bed to Palustrine Scrub/Shrub Wetland","PAB_PSS","random",0,0
"Palustrine Aquatic Bed","PAB","Palustrine Emergent Wetland","PEM","Palustrine Aquatic Bed to Palustrine Emergent Wetland","PAB_PEM","random",0,0
"Estuarine Aquatic Bed","EAB","Palustrine Forested Wetland","PFW","Estuarine Aquatic Bed to Palustrine Forested Wetland","EAB_PFW","random",0,0
"Estuarine Aquatic Bed","EAB","Palustrine Scrub/Shrub Wetland","PSS","Estuarine Aquatic Bed to Palustrine Scrub/Shrub Wetland","EAB_PSS","random",0,0
"Estuarine Aquatic Bed","EAB","Palustrine Emergent Wetland","PEM","Estuarine Aquatic Bed to Palustrine Emergent Wetland","EAB_PEM","random",0,0
"Snow/Ice","SNOW","Palustrine Forested Wetland","PFW","Snow/Ice to Palustrine Forested Wetland","SNOW_PFW","random",0,0
"Snow/Ice","SNOW","Palustrine Scrub/Shrub Wetland","PSS","Snow/Ice to Palustrine Scrub/Shrub Wetland","SNOW_PSS","random",0,0
"Snow/Ice","SNOW","Palustrine Emergent Wetland","PEM","Snow/Ice to Palustrine Emergent Wetland","SNOW_PEM","random",0,0
