"Value","X2006_Clas","X2010_Clas","Class_Name"
187,"Grassland","Scrub/Shrub","Grassland to Scrub/Shrub"
188,"Grassland","Palustrine Forested Wetland","Grassland to Palustrine Forested Wetland"
189,"Grassland","Palustrine Scrub/Shrub Wetland","Grassland to Palustrine Scrub/Shrub Wetland"
190,"Grassland","Palustrine Emergent Wetland","Grassland to Palustrine Emergent Wetland"
191,"Grassland","Estuarine Forested Wetland","Grassland to Estuarine Forested Wetland"
192,"Grassland","Estuarine Scrub/Shrub Wetland","Grassland to Estuarine Scrub/Shrub Wetland"
193,"Grassland","Estuarine Emergent Wetland","Grassland to Estuarine Emergent Wetland"
194,"Grassland","Unconsolidated Shore","Grassland to Unconsolidated Shore"
195,"Grassland","Bare Land","Grassland to Bare Land"
196,"Grassland","Water","Grassland to Water"
197,"Grassland","Palustrine Aquatic Bed","Grassland to Palustrine Aquatic Bed"
198,"Grassland","Estuarine Aquatic Bed","Grassland to Estuarine Aquatic Bed"
199,"Grassland","Tundra","Grassland to Tundra"
200,"Grassland","Snow/Ice","Grassland to Snow/Ice"
201,"Deciduous Forest","Unclassified","Deciduous Forest to Unclassified"
202,"Deciduous Forest","High Intensity Developed","Deciduous Forest to High Intensity Developed"
203,"Deciduous Forest","Medium Intensity Developed","Deciduous Forest to Medium Intensity Developed"
204,"Deciduous Forest","Low Intensity Developed","Deciduous Forest to Low Intensity Developed"
205,"Deciduous Forest","Developed Open Space","Deciduous Forest to Developed Open Space"
206,"Deciduous Forest","Cultivated","Deciduous Forest to Cultivated"
207,"Deciduous Forest","Pasture/Hay","Deciduous Forest to Pasture/Hay"
208,"Deciduous Forest","Grassland","Deciduous Forest to Grassland"
209,"Deciduous Forest","Deciduous Forest","Deciduous Forest to Deciduous Forest"
210,"Deciduous Forest","Evergreen Forest","Deciduous Forest to Evergreen Forest"
211,"Deciduous Forest","Mixed Forest","Deciduous Forest to Mixed Forest"
212,"Deciduous Forest","Scrub/Shrub","Deciduous Forest to Scrub/Shrub"
213,"Deciduous Forest","Palustrine Forested Wetland","Deciduous Forest to Palustrine Forested Wetland"
214,"Deciduous Forest","Palustrine Scrub/Shrub Wetland","Deciduous Forest to Palustrine Scrub/Shrub Wetland"
215,"Deciduous Forest","Palustrine Emergent Wetland","Deciduous Forest to Palustrine Emergent Wetland"
216,"Deciduous Forest","Estuarine Forested Wetland","Deciduous Forest to Estuarine Forested Wetland"
217,"Deciduous Forest","Estuarine Scrub/Shrub Wetland","Deciduous Forest to Estuarine Scrub/Shrub Wetland"
218,"Deciduous Forest","Estuarine Emergent Wetland","Deciduous Forest to Estuarine Emergent Wetland"
219,"Deciduous Forest","Unconsolidated Shore","Deciduous Forest to Unconsolidated Shore"
220,"Deciduous Forest","Bare Land","Deciduous Forest to Bare Land"
221,"Deciduous Forest","Water","Deciduous Forest to Water"
222,"Deciduous Forest","Palustrine Aquatic Bed","Deciduous Forest to Palustrine Aquatic Bed"
223,"Deciduous Forest","Estuarine Aquatic Bed","Deciduous Forest to Estuarine Aquatic Bed"
224,"Deciduous Forest","Tundra","Deciduous Forest to Tundra"
225,"Deciduous Forest","Snow/Ice","Deciduous Forest to Snow/Ice"
226,"Evergreen Forest","Unclassified","Evergreen Forest to Unclassified"
227,"Evergreen Forest","High Intensity Developed","Evergreen Forest to High Intensity Developed"
228,"Evergreen Forest","Medium Intensity Developed","Evergreen Forest to Medium Intensity Developed"
229,"Evergreen Forest","Low Intensity Developed","Evergreen Forest to Low Intensity Developed"
230,"Evergreen Forest","Developed Open Space","Evergreen Forest to Developed Open Space"
231,"Evergreen Forest","Cultivated","Evergreen Forest to Cultivated"
232,"Evergreen Forest","Pasture/Hay","Evergreen Forest to Pasture/Hay"
233,"Evergreen Forest","Grassland","Evergreen Forest to Grassland"
234,"Evergreen Forest","Deciduous Forest","Evergreen Forest to Deciduous Forest"
235,"Evergreen Forest","Evergreen Forest","Evergreen Forest to Evergreen Forest"
236,"Evergreen Forest","Mixed Forest","Evergreen Forest to Mixed Forest"
237,"Evergreen Forest","Scrub/Shrub","Evergreen Forest to Scrub/Shrub"
238,"Evergreen Forest","Palustrine Forested Wetland","Evergreen Forest to Palustrine Forested Wetland"
239,"Evergreen Forest","Palustrine Scrub/Shrub Wetland","Evergreen Forest to Palustrine Scrub/Shrub Wetland"
240,"Evergreen Forest","Palustrine Emergent Wetland","Evergreen Forest to Palustrine Emergent Wetland"
241,"Evergreen Forest","Estuarine Forested Wetland","Evergreen Forest to Estuarine Forested Wetland"
242,"Evergreen Forest","Estuarine Scrub/Shrub Wetland","Evergreen Forest to Estuarine Scrub/Shrub Wetland"
243,"Evergreen Forest","Estuarine Emergent Wetland","Evergreen Forest to Estuarine Emergent Wetland"
244,"Evergreen Forest","Unconsolidated Shore","Evergreen Forest to Unconsolidated Shore"
245,"Evergreen Forest","Bare Land","Evergreen Forest to Bare Land"
246,"Evergreen Forest","Water","Evergreen Forest to Water"
247,"Evergreen Forest","Palustrine Aquatic Bed","Evergreen Forest to Palustrine Aquatic Bed"
248,"Evergreen Forest","Estuarine Aquatic Bed","Evergreen Forest to Estuarine Aquatic Bed"
249,"Evergreen Forest","Tundra","Evergreen Forest to Tundra"
250,"Evergreen Forest","Snow/Ice","Evergreen Forest to Snow/Ice"
251,"Mixed Forest","Unclassified","Mixed Forest to Unclassified"
252,"Mixed Forest","High Intensity Developed","Mixed Forest to High Intensity Developed"
253,"Mixed Forest","Medium Intensity Developed","Mixed Forest to Medium Intensity Developed"
254,"Mixed Forest","Low Intensity Developed","Mixed Forest to Low Intensity Developed"
255,"Mixed Forest","Developed Open Space","Mixed Forest to Developed Open Space"
256,"Mixed Forest","Cultivated","Mixed Forest to Cultivated"
257,"Mixed Forest","Pasture/Hay","Mixed Forest to Pasture/Hay"
258,"Mixed Forest","Grassland","Mixed Forest to Grassland"
259,"Mixed Forest","Deciduous Forest","Mixed Forest to Deciduous Forest"
260,"Mixed Forest","Evergreen Forest","Mixed Forest to Evergreen Forest"
261,"Mixed Forest","Mixed Forest","Mixed Forest to Mixed Forest"
262,"Mixed Forest","Scrub/Shrub","Mixed Forest to Scrub/Shrub"
263,"Mixed Forest","Palustrine Forested Wetland","Mixed Forest to Palustrine Forested Wetland"
264,"Mixed Forest","Palustrine Scrub/Shrub Wetland","Mixed Forest to Palustrine Scrub/Shrub Wetland"
265,"Mixed Forest","Palustrine Emergent Wetland","Mixed Forest to Palustrine Emergent Wetland"
266,"Mixed Forest","Estuarine Forested Wetland","Mixed Forest to Estuarine Forested Wetland"
267,"Mixed Forest","Estuarine Scrub/Shrub Wetland","Mixed Forest to Estuarine Scrub/Shrub Wetland"
268,"Mixed Forest","Estuarine Emergent Wetland","Mixed Forest to Estuarine Emergent Wetland"
269,"Mixed Forest","Unconsolidated Shore","Mixed Forest to Unconsolidated Shore"
270,"Mixed Forest","Bare Land","Mixed Forest to Bare Land"
271,"Mixed Forest","Water","Mixed Forest to Water"
272,"Mixed Forest","Palustrine Aquatic Bed","Mixed Forest to Palustrine Aquatic Bed"
273,"Mixed Forest","Estuarine Aquatic Bed","Mixed Forest to Estuarine Aquatic Bed"
274,"Mixed Forest","Tundra","Mixed Forest to Tundra"
275,"Mixed Forest","Snow/Ice","Mixed Forest to Snow/Ice"
276,"Scrub/Shrub","Unclassified","Scrub/Shrub to Unclassified"
277,"Scrub/Shrub","High Intensity Developed","Scrub/Shrub to High Intensity Developed"
278,"Scrub/Shrub","Medium Intensity Developed","Scrub/Shrub to Medium Intensity Developed"
279,"Scrub/Shrub","Low Intensity Developed","Scrub/Shrub to Low Intensity Developed"
280,"Scrub/Shrub","Developed Open Space","Scrub/Shrub to Developed Open Space"
281,"Scrub/Shrub","Cultivated","Scrub/Shrub to Cultivated"
282,"Scrub/Shrub","Pasture/Hay","Scrub/Shrub to Pasture/Hay"
283,"Scrub/Shrub","Grassland","Scrub/Shrub to Grassland"
284,"Scrub/Shrub","Deciduous Forest","Scrub/Shrub to Deciduous Forest"
285,"Scrub/Shrub","Evergreen Forest","Scrub/Shrub to Evergreen Forest"
286,"Scrub/Shrub","Mixed Forest","Scrub/Shrub to Mixed Forest"
287,"Scrub/Shrub","Scrub/Shrub","Scrub/Shrub to Scrub/Shrub"
288,"Scrub/Shrub","Palustrine Forested Wetland","Scrub/Shrub to Palustrine Forested Wetland"
289,"Scrub/Shrub","Palustrine Scrub/Shrub Wetland","Scrub/Shrub to Palustrine Scrub/Shrub Wetland"
290,"Scrub/Shrub","Palustrine Emergent Wetland","Scrub/Shrub to Palustrine Emergent Wetland"
291,"Scrub/Shrub","Estuarine Forested Wetland","Scrub/Shrub to Estuarine Forested Wetland"
292,"Scrub/Shrub","Estuarine Scrub/Shrub Wetland","Scrub/Shrub to Estuarine Scrub/Shrub Wetland"
293,"Scrub/Shrub","Estuarine Emergent Wetland","Scrub/Shrub to Estuarine Emergent Wetland"
294,"Scrub/Shrub","Unconsolidated Shore","Scrub/Shrub to Unconsolidated Shore"
295,"Scrub/Shrub","Bare Land","Scrub/Shrub to Bare Land"
296,"Scrub/Shrub","Water","Scrub/Shrub to Water"
297,"Scrub/Shrub","Palustrine Aquatic Bed","Scrub/Shrub to Palustrine Aquatic Bed"
298,"Scrub/Shrub","Estuarine Aquatic Bed","Scrub/Shrub to Estuarine Aquatic Bed"
299,"Scrub/Shrub","Tundra","Scrub/Shrub to Tundra"
300,"Scrub/Shrub","Snow/Ice","Scrub/Shrub to Snow/Ice"
301,"Palustrine Forested Wetland","Unclassified","Palustrine Forested Wetland to Unclassified"
302,"Palustrine Forested Wetland","High Intensity Developed","Palustrine Forested Wetland to High Intensity Developed"
303,"Palustrine Forested Wetland","Medium Intensity Developed","Palustrine Forested Wetland to Medium Intensity Developed"
304,"Palustrine Forested Wetland","Low Intensity Developed","Palustrine Forested Wetland to Low Intensity Developed"
305,"Palustrine Forested Wetland","Developed Open Space","Palustrine Forested Wetland to Developed Open Space"
306,"Palustrine Forested Wetland","Cultivated","Palustrine Forested Wetland to Cultivated"
307,"Palustrine Forested Wetland","Pasture/Hay","Palustrine Forested Wetland to Pasture/Hay"
308,"Palustrine Forested Wetland","Grassland","Palustrine Forested Wetland to Grassland"
309,"Palustrine Forested Wetland","Deciduous Forest","Palustrine Forested Wetland to Deciduous Forest"
310,"Palustrine Forested Wetland","Evergreen Forest","Palustrine Forested Wetland to Evergreen Forest"
311,"Palustrine Forested Wetland","Mixed Forest","Palustrine Forested Wetland to Mixed Forest"
312,"Palustrine Forested Wetland","Scrub/Shrub","Palustrine Forested Wetland to Scrub/Shrub"
313,"Palustrine Forested Wetland","Palustrine Forested Wetland","Palustrine Forested Wetland to Palustrine Forested Wetland"
314,"Palustrine Forested Wetland","Palustrine Scrub/Shrub Wetland","Palustrine Forested Wetland to Palustrine Scrub/Shrub Wetland"
315,"Palustrine Forested Wetland","Palustrine Emergent Wetland","Palustrine Forested Wetland to Palustrine Emergent Wetland"
316,"Palustrine Forested Wetland","Estuarine Forested Wetland","Palustrine Forested Wetland to Estuarine Forested Wetland"
317,"Palustrine Forested Wetland","Estuarine Scrub/Shrub Wetland","Palustrine Forested Wetland to Estuarine Scrub/Shrub Wetland"
318,"Palustrine Forested Wetland","Estuarine Emergent Wetland","Palustrine Forested Wetland to Estuarine Emergent Wetland"
319,"Palustrine Forested Wetland","Unconsolidated Shore","Palustrine Forested Wetland to Unconsolidated Shore"
320,"Palustrine Forested Wetland","Bare Land","Palustrine Forested Wetland to Bare Land"
321,"Palustrine Forested Wetland","Water","Palustrine Forested Wetland to Water"
322,"Palustrine Forested Wetland","Palustrine Aquatic Bed","Palustrine Forested Wetland to Palustrine Aquatic Bed"
323,"Palustrine Forested Wetland","Estuarine Aquatic Bed","Palustrine Forested Wetland to Estuarine Aquatic Bed"
324,"Palustrine Forested Wetland","Tundra","Palustrine Forested Wetland to Tundra"
325,"Palustrine Forested Wetland","Snow/Ice","Palustrine Forested Wetland to Snow/Ice"
326,"Palustrine Scrub/Shrub Wetland","Unclassified","Palustrine Scrub/Shrub Wetland to Unclassified"
327,"Palustrine Scrub/Shrub Wetland","High Intensity Developed","Palustrine Scrub/Shrub Wetland to High Intensity Developed"
328,"Palustrine Scrub/Shrub Wetland","Medium Intensity Developed","Palustrine Scrub/Shrub Wetland to Medium Intensity Developed"
329,"Palustrine Scrub/Shrub Wetland","Low Intensity Developed","Palustrine Scrub/Shrub Wetland to Low Intensity Developed"
330,"Palustrine Scrub/Shrub Wetland","Developed Open Space","Palustrine Scrub/Shrub Wetland to Developed Open Space"
331,"Palustrine Scrub/Shrub Wetland","Cultivated","Palustrine Scrub/Shrub Wetland to Cultivated"
332,"Palustrine Scrub/Shrub Wetland","Pasture/Hay","Palustrine Scrub/Shrub Wetland to Pasture/Hay"
